# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
demonstrative|noun|A word such as this or those that points something out|pamatlig|Salitang nagtuturo sa bagay|"This" and "that" are demonstratives.
possessive|noun|A form showing that something belongs to somebody|paari|Anyong nagpapakita ng pagmamay-ari|"Her book" uses a possessive.
each|determiner|Every one of two or more, considered separately|bawat isa|Bawat isa, isa-isang tinitingnan|Each student received a copy.
either|determiner|One or the other of two|alinman sa dalawa|Isa sa dalawang pagpipilian|Either answer is acceptable.
neither|determiner|Not one and not the other|wala sa dalawa|Hindi ang isa at hindi rin ang isa|Neither option suited us.
several|determiner|More than two but not many|ilan|Higit sa dalawa ngunit hindi marami|Several people complained.
enough|determiner|As much as is needed|sapat|Kasing dami ng kailangan|We have enough chairs.
plenty|noun|A large enough amount|marami|Sapat at higit pa ang dami|There is plenty of time.
few|determiner|A small number, suggesting not many|kakaunti|Maliit na bilang|Few students failed.
little|determiner|A small amount of something uncountable|kaunti|Maliit na dami ng di-mabilang|There is little milk left.
much|determiner|A large amount of something uncountable|marami|Malaking dami ng di-mabilang|How much water do we need?
whole|determiner|Complete, with no part missing|buo|Kumpleto at walang kulang|She read the whole book.

# ---------------- Food & Drink ----------------
appetite|noun|The desire to eat|gana|Pagnanais na kumain|Exercise gave him a good appetite.
appetiser|noun|A small dish served before the main course|pampagana|Maliit na putahe bago ang pangunahing pagkain|We shared an appetiser of olives.
beverage|noun|A drink of any kind|inumin|Anumang uri ng inumin|Hot beverages are served all day.
breakfast|noun|The first meal of the day|almusal|Unang pagkain sa maghapon|She eats breakfast at seven.
lunch|noun|The meal eaten in the middle of the day|tanghalian|Pagkain sa katanghalian|We had lunch in the park.
dinner|noun|The main meal of the evening|hapunan|Pangunahing pagkain sa gabi|Dinner is at eight tonight.
supper|noun|A light evening meal|meryenda sa gabi|Magaang pagkain sa gabi|They had soup for supper.
snack|noun|A small amount of food between meals|meryenda|Maliit na pagkain sa pagitan ng oras|Fruit makes a healthy snack.
meal|noun|An occasion when food is eaten|pagkain|Pagkakataon ng pagkain|We share three meals a day.
dish|noun|Food prepared in a particular way|putahe|Pagkaing inihanda sa tiyak na paraan|Adobo is a popular dish.
recipe|noun|A set of instructions for cooking something|resipe|Panuto sa pagluluto|The recipe calls for garlic.
ingredient|noun|One of the foods used to make a dish|sangkap|Isa sa mga bagay na ginagamit sa pagluluto|Salt is the simplest ingredient.
flavour|noun|The taste of a food|lasa|Panlasa ng pagkain|The soup has a rich flavour.
seasoning|noun|Salt, pepper or herbs added to food|pampalasa|Asin o pampalasa na idinaragdag|Adjust the seasoning to taste.
spice|noun|A strong-tasting plant part used in cooking|pampalasa|Bahagi ng halamang pampalasa|Cinnamon is a warm spice.
herb|noun|A plant used to flavour food|damong pampalasa|Halamang pampalasa sa pagkain|Basil is a fragrant herb.
grain|noun|The seed of a cereal plant|butil|Buto ng halamang cereal|Rice is the most eaten grain.
cereal|noun|A grain crop, or breakfast food made from it|butil|Pananim na butil o pang-almusal|Wheat is an important cereal.
dairy|noun|Milk and foods made from it|gatasan|Gatas at mga produktong gawa rito|She avoids dairy products.
poultry|noun|Birds kept for meat and eggs|manukan|Mga ibong inaalagaan para sa karne at itlog|The farm raises poultry.
seafood|noun|Fish and shellfish eaten as food|pagkaing-dagat|Isda at kabibe bilang pagkain|The coast is famous for seafood.
produce|noun|Fresh fruit and vegetables|ani|Sariwang prutas at gulay|The market sells local produce.
protein|noun|A nutrient needed to build the body|protina|Sustansyang kailangan sa paglaki|Beans are a good source of protein.
carbohydrate|noun|A nutrient that gives energy|karbohidrat|Sustansyang nagbibigay ng lakas|Rice is high in carbohydrate.
vitamin|noun|A substance in food needed in small amounts|bitamina|Sustansyang kailangan sa maliit na dami|Oranges contain vitamin C.
fibre|noun|The part of plant food that aids digestion|hibla|Bahagi ng pagkaing tumutulong sa panunaw|Wholemeal bread is high in fibre.
calorie|noun|A unit measuring the energy in food|kaloriya|Panukat ng enerhiya sa pagkain|This meal has 600 calories.
diet|noun|The food a person usually eats|diyeta|Karaniwang kinakain ng isang tao|A balanced diet keeps you well.
vegetarian|noun|Somebody who does not eat meat|behetaryan|Taong hindi kumakain ng karne|She has been vegetarian for years.
vegan|noun|Somebody who eats no animal products at all|bigan|Taong hindi kumakain ng anumang galing sa hayop|Vegan meals use no dairy.
edible|adjective|Safe or suitable to eat|nakakain|Ligtas o angkop kainin|Not every mushroom is edible.
stale|adjective|No longer fresh|panis|Hindi na sariwa|The bread went stale.
ripe|adjective|Fully grown and ready to eat|hinog|Ganap na at handa nang kainin|Choose ripe mangoes.
raw|adjective|Not cooked|hilaw|Hindi luto|Sushi uses raw fish.
savoury|adjective|Salty or spicy rather than sweet|maalat|Maalat o maanghang, hindi matamis|He prefers savoury snacks.
bland|adjective|Having very little flavour|walang lasa|Kulang sa lasa|The soup was rather bland.
tender|adjective|Soft and easy to cut or chew|malambot|Madaling hiwain o nguyain|The beef was beautifully tender.
crisp|adjective|Firm and pleasantly brittle|malutong|Matigas at masarap kagatin|The apples were crisp and sweet.
juicy|adjective|Full of juice|makatas|Puno ng katas|These peaches are very juicy.
greasy|adjective|Covered in or containing a lot of fat|malangis|May labis na mantika|Greasy food upsets my stomach.
sour|adjective|Having a sharp acid taste|maasim|May matalas na asim|The lemon tasted sour.
bitter|adjective|Having a sharp unpleasant taste|mapait|May matalas at di-kaaya-ayang lasa|Dark chocolate is slightly bitter.
salty|adjective|Containing a lot of salt|maalat|Maraming asin|The broth was too salty.
spicy|adjective|Strongly flavoured with spices|maanghang|Malakas ang pampalasa|I love spicy noodles.
sweet|adjective|Tasting like sugar|matamis|May lasang asukal|The mangoes were very sweet.
starving|adjective|Extremely hungry|gutom na gutom|Matinding gutom|We were starving after the hike.
thirsty|adjective|Needing to drink|nauuhaw|Nangangailangang uminom|Running makes me thirsty.
full|adjective|Having eaten enough|busog|Sapat na ang nakain|No more, thank you, I am full.

# ---------------- Cooking & Kitchen ----------------
bake|verb|To cook in an oven using dry heat|maghurno|Magluto sa hurno|She bakes bread every Sunday.
boil|verb|To heat liquid until it bubbles|pakuluan|Painitin hanggang kumulo|Boil the water first.
simmer|verb|To cook gently just below boiling|pakuluan nang mahina|Lutuin sa mahinang apoy|Let the sauce simmer for an hour.
fry|verb|To cook in hot oil|magprito|Magluto sa mainit na mantika|Fry the onions until golden.
grill|verb|To cook under or over direct heat|mag-ihaw|Magluto sa direktang init|We grilled fish on the beach.
roast|verb|To cook in an oven with fat|mag-ihaw sa hurno|Lutuin sa hurno na may taba|Roast the chicken for an hour.
steam|verb|To cook using hot vapour|pasingawan|Lutuin gamit ang singaw|Steam the vegetables lightly.
stir|verb|To move food round with a spoon|haluin|Igalaw gamit ang kutsara|Stir the soup occasionally.
whisk|verb|To beat quickly to add air|batihin|Batihin upang magkahangin|Whisk the eggs until foamy.
knead|verb|To press and fold dough with your hands|masahin|Pisilin at tiklupin ang masa|Knead the dough for ten minutes.
chop|verb|To cut into pieces|hiwain|Putulin sa maliliit na piraso|Chop the carrots finely.
slice|verb|To cut into thin flat pieces|hiwain nang manipis|Putulin sa manipis na piraso|Slice the bread thickly.
dice|verb|To cut into small cubes|kubuhin|Hiwain sa maliliit na kubo|Dice the potatoes evenly.
peel|verb|To remove the skin of a fruit or vegetable|balatan|Alisin ang balat|Peel the apples first.
grate|verb|To shred food using a rough surface|kudkurin|Gadgarin gamit ang magaspang na kasangkapan|Grate the cheese over the top.
marinate|verb|To soak food in a sauce before cooking|imarinate|Ibabad sa sarsa bago lutuin|Marinate the pork overnight.
garnish|verb|To decorate a dish before serving|palamutian|Gayakan ang putahe bago ihain|Garnish with fresh parsley.
serve|verb|To give food to somebody|ihain|Ibigay ang pagkain|Serve the dish while hot.
season|verb|To add salt, pepper or spices|timplahan|Lagyan ng pampalasa|Season the soup to taste.
saucepan|noun|A deep cooking pot with a handle|kaserola|Malalim na kaldero na may hawakan|Heat the milk in a saucepan.
frying pan|noun|A shallow pan for frying|kawali|Mababaw na kawali para sa pagprito|Use a heavy frying pan.
kettle|noun|A container for boiling water|takure|Lalagyan para sa pagpapakulo ng tubig|Put the kettle on.
oven|noun|An enclosed space for baking and roasting|hurno|Saradong lugar para sa paghurno|Preheat the oven to 200 degrees.
stove|noun|An appliance for cooking on|kalan|Kasangkapan para sa pagluluto|The stove has four burners.
utensil|noun|A tool used in the kitchen|kagamitan|Kasangkapang panluto|Wooden utensils are gentle on pans.
cutlery|noun|Knives, forks and spoons|kubyertos|Kutsilyo, tinidor at kutsara|Set the cutlery on the right.
crockery|noun|Plates, cups and bowls|pinggan|Mga plato, tasa at mangkok|Wash the crockery after dinner.
tray|noun|A flat board for carrying food|bandehado|Patag na sisidlan para sa pagdadala|She carried the tea on a tray.
lid|noun|A cover for a pot or jar|takip|Pantakip sa kaldero o garapon|Keep the lid on while it cooks.
ladle|noun|A large deep spoon for serving liquid|sandok|Malaking kutsara para sa sabaw|Use a ladle for the broth.
sieve|noun|A tool with holes for straining|salaan|Kagamitang may butas para sa pagsala|Pass the sauce through a sieve.
leftovers|noun|Food remaining after a meal|tira|Natirang pagkain|We ate the leftovers cold.
portion|noun|An amount of food for one person|bahagi|Dami ng pagkain para sa isang tao|Serve modest portions.
helping|noun|An amount of food served at one time|serbing|Dami ng ihaing pagkain|He asked for a second helping.

# ---------------- Family & Relationships ----------------
relative|noun|A member of your family|kamag-anak|Kasapi ng pamilya|Many relatives came to the wedding.
sibling|noun|A brother or sister|kapatid|Kapatid na lalaki o babae|She has three siblings.
offspring|noun|A person's children|supling|Anak ng isang tao|The couple has two offspring.
ancestor|noun|A person from whom you are descended|ninuno|Taong pinagmulan ng lahi|Our ancestors farmed this land.
descendant|noun|A person descended from another|inapo|Taong nagmula sa isang ninuno|She is a descendant of settlers.
heir|noun|A person who will inherit property|tagapagmana|Taong magmamana ng ari-arian|He is the sole heir.
guardian|noun|A person legally responsible for a child|tagapag-alaga|Taong legal na nangangalaga sa bata|Her aunt became her guardian.
spouse|noun|A husband or wife|asawa|Asawang lalaki o babae|Bring your spouse to the dinner.
in-law|noun|A relative by marriage|biyenan|Kamag-anak dahil sa kasal|My in-laws live nearby.
godparent|noun|A person who promises to help raise a child|ninong o ninang|Taong nangakong tumulong sa pagpapalaki|Her godparent gave her a watch.
household|noun|All the people living in one home|sambahayan|Lahat ng nakatira sa isang bahay|The household includes five people.
upbringing|noun|The way a child is raised|pagpapalaki|Paraan ng pagpapalaki sa bata|He had a strict upbringing.
acquaintance|noun|Somebody you know slightly|kakilala|Taong bahagyang kilala|He is an acquaintance, not a friend.
companion|noun|A person who spends time with you|kasama|Taong kasama mo|A dog makes a loyal companion.
peer|noun|Somebody of the same age or status|kapantay|Taong kapareho ng edad o antas|Teenagers value their peers' views.
neighbour|noun|A person living next to you|kapitbahay|Taong nakatira sa katabi|Our neighbours are very kind.
bond|noun|A strong feeling of connection|ugnayan|Matibay na damdamin ng koneksyon|Sisters often share a close bond.
intimacy|noun|Close personal connection|lapit|Malapit na personal na ugnayan|Trust grows with intimacy.
loyalty|noun|Faithful support for somebody|katapatan|Tapat na suporta sa iba|Loyalty matters in friendship.
commitment|noun|A promise to keep doing something|pangako|Pangakong ipagpatuloy ang isang bagay|Marriage is a lifelong commitment.
engagement|noun|An agreement to marry|pagpapakasal|Kasunduang magpakasal|They announced their engagement.
wedding|noun|A marriage ceremony|kasal|Seremonya ng pag-iisang dibdib|The wedding took place in June.
anniversary|noun|The yearly return of a special date|anibersaryo|Taunang pagbabalik ng natatanging araw|They celebrated their tenth anniversary.
divorce|noun|The legal ending of a marriage|diborsyo|Legal na pagtatapos ng kasal|The divorce was settled quietly.
reunion|noun|A meeting of people after a long time apart|muling pagkikita|Pagkikita matapos ang mahabang panahon|The family reunion drew fifty people.
