# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
irony|noun|Saying the opposite of what is meant|ironiya|Pagsasabi ng kabaligtaran ng ibig sabihin|Saying great when it is actually terrible is irony.
sarcasm|noun|Mocking use of words|uyam|Panunuyang paggamit ng salita|His sarcasm hurt more than a direct insult.
satire|noun|The use of humor to criticize|satira|Paggamit ng katatawanan upang pumuna|The cartoon is a satire on politics.
mood|noun|The feeling a text creates|damdamin|Damdaming nalilikha ng teksto|The story creates a mood of mystery.
style|noun|The way a writer uses language|istilo|Paraan ng paggamit ng wika ng manunulat|Her writing style is simple and direct.

# ---------------- Common Idioms ----------------
break the ice|idiom|To start a conversation in a relaxed way|magsimula ng usapan|Magsimula ng usapan nang may kaginhawahan|He told a joke to break the ice at the meeting.
piece of cake|idiom|Something very easy|napakadali|Isang bagay na napakadali|The exam was a piece of cake.
spill the beans|idiom|To reveal a secret|ibunyag ang lihim|Magbunyag ng sikreto|She spilled the beans about the surprise party.
under the weather|idiom|Feeling sick|masama ang pakiramdam|May sakit o hindi maganda ang pakiramdam|I stayed home because I felt under the weather.
once in a blue moon|idiom|Very rarely|napakadalang|Bihirang-bihira mangyari|We go out to eat once in a blue moon.
hit the nail on the head|idiom|To say exactly the right thing|tama ang sabi|Tama ang sinabi|You hit the nail on the head with that answer.
let the cat out of the bag|idiom|To reveal a secret by accident|naihayag ang lihim|Hindi sinasadyang naihayag ang sikreto|He let the cat out of the bag about the trip.
bite the bullet|idiom|To face something difficult bravely|harapin ang hirap|Harapin ang mahirap na bagay nang buong tapang|I bit the bullet and went to the dentist.
call it a day|idiom|To stop working for the day|tapusin na|Itigil na ang trabaho sa araw na iyon|We finished the report and called it a day.
cut corners|idiom|To do something cheaply or poorly|magtipid nang labis|Gumawa ng bagay nang mababa ang kalidad|Do not cut corners on safety.
beat around the bush|idiom|To avoid saying something directly|magpaligoy-ligoy|Iwasang sabihin nang tuwiran|Stop beating around the bush and tell me the truth.
on the ball|idiom|To be alert and quick|alisto|Maging alerto at mabilis|She is really on the ball today.
sit on the fence|idiom|To avoid taking sides|walang paninindigan|Iwasang kumampi|Stop sitting on the fence and choose a side.
the ball is in your court|idiom|It is your turn to act|ikaw na ang bahala|Ikaw na ang gagawa ng susunod|I made my offer, so the ball is in your court.
add insult to injury|idiom|To make a bad situation worse|lalo pang pinasama|Pinalala pa ang masamang sitwasyon|He laughed at me, adding insult to injury.
best of both worlds|idiom|Benefits of two situations at once|maganda sa dalawa|Pakinabang ng dalawang bagay nang sabay|Working from home gives me the best of both worlds.
cost an arm and a leg|idiom|To be very expensive|napakamahal|Napakamahal ng halaga|That phone costs an arm and a leg.
hit the books|idiom|To study hard|mag-aral nang mabuti|Magsanay nang husto sa pag-aaral|I need to hit the books before the exam.
kill two birds with one stone|idiom|To achieve two things at once|isang bagsakan|Matamo ang dalawang bagay sa isang pagkakataon|Biking to work kills two birds with one stone.
miss the boat|idiom|To lose an opportunity|napalampas ang pagkakataon|Nawala ang pagkakataon|I missed the boat on the sale price.
pull someone's leg|idiom|To joke with someone|magbiro|Magbiro sa isang tao|He was just pulling your leg.
rule of thumb|idiom|A general guideline|pangkalahatang tuntunin|Pangkalahatang gabay|A good rule of thumb is to save ten percent.
see eye to eye|idiom|To agree|magkasundo|Magkaisa sa opinyon|We do not see eye to eye on politics.
take with a grain of salt|idiom|To not fully believe|huwag lubusang paniwalaan|Huwag paniwalaan nang lubusan|Take his stories with a grain of salt.
a blessing in disguise|idiom|Something good that seemed bad|pagpapala sa lihim|Mabuti palang bagay na mukhang masama|Losing the job was a blessing in disguise.
actions speak louder than words|idiom|What you do matters more than what you say|mas mahalaga ang gawa|Ang ginagawa ay mas mahalaga kaysa sinasabi|Show you care, because actions speak louder than words.
back to the drawing board|idiom|To start over|simula muli|Magsimula ulit|The plan failed, so it is back to the drawing board.
burn the midnight oil|idiom|To work late at night|magpuyat|Magtrabaho hanggang hatinggabi|She burned the midnight oil to finish the paper.
face the music|idiom|To accept the consequences|harapin ang kahihinatnan|Tanggapin ang kahihinatnan ng ginawa|He must face the music for his mistake.
give the benefit of the doubt|idiom|To trust without proof|magtiwala muna|Magtiwala kahit walang patunay|I will give you the benefit of the doubt.
in hot water|idiom|In trouble|nasa problema|May problema|He is in hot water with his boss.
keep an eye on|idiom|To watch carefully|bantayan|Bantayan nang mabuti|Please keep an eye on the baby.
no pain no gain|idiom|Success requires effort|walang hirap walang bunga|Ang tagumpay ay nangangailangan ng pagsisikap|Keep training; no pain, no gain.
on thin ice|idiom|In a risky situation|nasa delikadong kalagayan|Nasa mapanganib na sitwasyon|He is on thin ice after missing deadlines.
out of the blue|idiom|Unexpectedly|biglaan|Walang anumang babala|She called me out of the blue.
pull yourself together|idiom|To calm down|magpakatatag|Kumalma at magpakatatag|Pull yourself together and focus.
rain cats and dogs|idiom|To rain heavily|malakas na ulan|Napakalakas ng ulan|It is raining cats and dogs outside.
saved by the bell|idiom|Rescued at the last moment|nailigtas sa huling sandali|Nailigtas sa huling pagkakataon|I was saved by the bell when the phone rang.
speak of the devil|idiom|The person just mentioned appears|nabanggit at dumating|Dumating ang taong kababanggit lang|Speak of the devil, here she comes.
the last straw|idiom|The final problem|huling patak|Huling problema na nagpuno|The rude email was the last straw.
throw in the towel|idiom|To give up|sumuko|Sumuko na|He threw in the towel after many failures.
up in the air|idiom|Undecided|walang katiyakan|Hindi pa napagpapasyahan|Our vacation plans are still up in the air.
when pigs fly|idiom|Never|hindi mangyayari|Hindi kailanman mangyayari|He will clean his room when pigs fly.
your guess is as good as mine|idiom|I do not know either|wala rin akong alam|Hindi ko rin alam|Where is he? Your guess is as good as mine.
barking up the wrong tree|idiom|To be mistaken|nagkakamali|Mali ang pinupuntirya|You are barking up the wrong tree if you blame me.
better late than never|idiom|It is good to arrive even late|mabuti nang huli kaysa wala|Mas mabuting huli kaysa hindi|He finally apologized; better late than never.
break a leg|idiom|Good luck|suwertehin ka|Pambati ng suwerte|Break a leg on your performance tonight.
by the skin of your teeth|idiom|Barely|muntik na|Halos hindi na umabot|I caught the train by the skin of my teeth.
cry over spilled milk|idiom|To regret what cannot change|maghinayang sa wala|Magsisi sa hindi na mababago|There is no use crying over spilled milk.
down to earth|idiom|Practical and humble|makatotohanan|Praktikal at mapagkumbaba|She is rich but very down to earth.
easier said than done|idiom|Sounds easy but is hard|madaling sabihin|Madaling sabihin pero mahirap gawin|Quitting sugar is easier said than done.
every cloud has a silver lining|idiom|Good comes from bad|may liwanag sa dilim|May mabuti sa bawat masama|The delay was annoying, but every cloud has a silver lining.
get out of hand|idiom|To become uncontrollable|mawala sa kontrol|Hindi na makontrol|The party got out of hand.
give someone the cold shoulder|idiom|To ignore someone|hindi pansinin|Ipagwalang-bahala ang isang tao|She gave me the cold shoulder all day.
go the extra mile|idiom|To do more than expected|magpursigi nang higit|Gumawa nang higit sa inaasahan|He always goes the extra mile for customers.
hit the sack|idiom|To go to sleep|matulog na|Matulog na|I am tired; time to hit the sack.
in the nick of time|idiom|Just in time|sa tamang oras|Sakto sa oras|We arrived in the nick of time.
it is not rocket science|idiom|It is not complicated|hindi komplikado|Hindi naman mahirap|Just follow the steps; it is not rocket science.
keep your chin up|idiom|Stay positive|manatiling positibo|Huwag mawalan ng pag-asa|Keep your chin up; things will improve.
let sleeping dogs lie|idiom|Do not stir up old trouble|huwag guluhin ang nakaraan|Huwag na muling buksan ang dating problema|Do not bring up the old fight; let sleeping dogs lie.
make a long story short|idiom|To summarize|paikliin ang kwento|Ibuod ang kwento|To make a long story short, we won.
out of the woods|idiom|Past the danger|ligtas na|Nalampasan na ang panganib|The patient is not out of the woods yet.
play it by ear|idiom|To decide as things happen|tingnan na lang|Magpasya ayon sa mangyayari|We have no plan; we will play it by ear.
put all your eggs in one basket|idiom|To risk everything on one thing|ilagay lahat sa isa|Ilagay ang lahat sa isang bagay|Do not put all your eggs in one basket.
read between the lines|idiom|To understand the hidden meaning|basahin ang nasa likod|Unawain ang nakatagong kahulugan|Reading between the lines, she was unhappy.
take it easy|idiom|To relax|magpahinga|Magpahinga at kumalma|Take it easy this weekend.
the apple of my eye|idiom|A cherished person|pinakamamahal|Taong labis na minamahal|Her grandson is the apple of her eye.
the early bird catches the worm|idiom|Early action brings success|maaga ay panalo|Ang maaga ay nagtatagumpay|I wake up early because the early bird catches the worm.
through thick and thin|idiom|Through good and bad times|sa hirap at ginhawa|Sa mabuti at masamang panahon|They stayed friends through thick and thin.
to be in the same boat|idiom|To share the same situation|magkapareho ng kalagayan|Magkapareho ng sitwasyon|We are all in the same boat with the delays.
to cut a long story short|idiom|To summarize briefly|paikliin|Ibuod nang maikli|To cut a long story short, we missed the flight.
to get cold feet|idiom|To become nervous|kabahan|Maging kinakabahan|He got cold feet before the wedding.
to have a chip on your shoulder|idiom|To hold a grudge|may sama ng loob|May dinadamdam|He has a chip on his shoulder about the past.
to hit the road|idiom|To leave|umalis na|Umalis na|It is late; time to hit the road.
to lose your train of thought|idiom|To forget what you were saying|mawala sa isip|Makalimutan ang sinasabi|I lost my train of thought during the speech.
to make ends meet|idiom|To manage with little money|magkasya ang pera|Pagkasya ang kakarampot na pera|She works two jobs to make ends meet.
to take the bull by the horns|idiom|To face a problem directly|harapin ang problema|Harapin nang direkta ang problema|He took the bull by the horns and solved the issue.
to turn a blind eye|idiom|To ignore on purpose|magbulag-bulagan|Sadyang hindi pansinin|The guard turned a blind eye to the mess.
a dime a dozen|idiom|Very common|karaniwan na|Napakakaraniwan|Coffee shops are a dime a dozen here.
ahead of the curve|idiom|More advanced than others|nangunguna|Mas nangunguna kaysa iba|Her ideas keep the company ahead of the curve.
at the drop of a hat|idiom|Without hesitation|agad-agad|Walang pag-aalinlangan|He would help at the drop of a hat.
bend over backwards|idiom|To try very hard|magpakahirap|Magsumikap nang husto|She bent over backwards to help us.
between a rock and a hard place|idiom|In a difficult choice|sa mahirap na kalagayan|Nasa mahirap na pagpili|I was between a rock and a hard place.
bite off more than you can chew|idiom|To take on too much|sobra sa kakayanin|Kumuha ng higit sa kaya|He bit off more than he could chew with three jobs.
burn bridges|idiom|To ruin relationships|sinira ang relasyon|Siraan ang mga relasyon|Do not burn bridges with your old team.
